Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l
1,42,1,1,0,1,155.0,36904,1,1,0,0,1,0,0
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,42,1,1,1,1,170.0,40476,1,0,0,0,0,1,0
3,87,1,1,1,1,400.0,45662,1,1,0,0,0,0,1
1,59,1,1,1,1,205.0,34745,1,1,0,0,0,0,1
5,277,1,1,1,1,710.0,25631,1,1,0,0,0,1,0
3,89,0,1,1,1,340.0,37861,1,1,0,0,0,0,1
2,50,1,1,1,1,215.0,43000,1,0,0,0,0,1,0
4,89,1,0,1,1,285.0,32022,1,1,0,0,0,1,0
1,60,1,1,1,0,232.0,38666,1,0,0,0,0,0,0
2,45,1,1,1,1,180.0,40000,1,1,0,0,1,0,0
2,42,1,0,0,1,145.0,34523,1,0,1,0,0,1,0
2,50,1,1,0,1,200.0,40000,1,1,0,0,1,0,0
2,38,1,1,0,1,92.0,24210,1,0,0,0,1,0,0
1,45,1,0,1,1,60.0,13333,1,0,0,0,0,1,0
2,50,1,1,1,1,210.0,42000,1,0,0,0,0,1,0
2,50,1,1,1,1,189.5,37900,1,1,0,0,0,1,0
1,37,1,1,1,1,105.0,28286,1,0,0,0,0,1,0
2,45,1,1,1,1,139.0,30888,1,0,0,0,1,0,0
2,42,1,1,1,1,170.0,40476,1,1,0,0,0,1,0
2,45,1,1,0,1,125.0,27777,0,1,0,0,1,0,0
2,52,1,1,1,1,236.0,45384,1,0,0,0,0,1,0
2,45,1,1,0,0,186.0,41333,1,1,0,0,1,0,0
2,51,1,1,1,1,220.0,43137,0,1,0,0,0,1,0
2,74,1,1,1,1,105.0,14189,1,0,0,0,1,0,0
2,42,1,1,1,1,115.0,27380,1,0,0,0,0,1,0
2,50,1,1,1,1,210.0,42000,1,0,0,0,0,1,0
2,53,1,1,1,1,145.0,27358,1,0,0,0,0,0,1
2,42,1,1,1,1,150.0,35714,1,1,0,0,1,0,0
2,42,1,1,1,1,120.0,28571,1,1,0,0,0,1,0
1,50,1,1,1,1,145.0,29000,1,1,0,0,1,0,0
3,80,1,1,0,1,300.0,37500,1,0,0,0,0,0,1
2,50,1,1,1,1,180.0,36000,1,0,0,0,0,1,0
4,230,0,1,1,1,650.0,28260,1,0,0,0,0,1,0
3,80,1,1,0,1,300.0,37500,1,0,0,0,0,0,1
3,63,1,1,0,1,255.0,40476,0,0,1,0,0,1,0
3,63,1,1,0,1,255.0,40476,0,0,1,0,0,1,0
2,42,1,1,0,1,120.0,28571,1,0,0,0,1,0,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
4,58,1,1,0,0,139.0,23965,1,0,1,0,0,1,0
4,58,1,1,0,0,139.0,23965,1,0,1,0,0,1,0
2,50,1,1,1,1,240.0,48000,1,0,0,0,0,0,1
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
3,89,1,1,1,1,320.0,35955,1,1,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,89,1,0,1,1,288.0,32359,1,1,0,0,1,0,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
3,89,1,1,1,1,328.0,36853,1,1,0,0,0,1,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
3,89,0,1,1,1,348.0,38752,1,1,0,0,0,0,1
2,53,1,0,0,1,192.0,35887,1,0,1,0,1,0,0
1,50,1,1,1,1,145.0,29000,1,1,0,0,1,0,0
3,80,1,1,0,1,279.0,34875,0,0,0,1,1,0,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,42,1,0,1,1,159.0,37857,1,0,0,0,0,1,0
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,42,1,0,1,1,148.0,35238,1,0,0,0,0,1,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,42,1,1,1,1,161.0,38333,1,1,0,0,0,0,1
2,42,1,1,0,1,183.0,43571,1,0,1,0,1,0,0
1,41,1,1,0,1,90.0,21951,1,0,0,0,0,1,0
4,89,1,0,1,1,285.0,32022,1,1,0,0,0,1,0
2,42,1,0,1,1,160.0,38095,1,0,0,0,0,1,0
2,42,1,1,1,1,166.0,39523,0,0,1,0,0,1,0
2,42,1,0,1,1,159.0,37857,1,0,0,0,0,1,0
5,356,1,1,1,1,1850.0,51966,1,1,0,0,0,1,0
4,89,1,0,1,1,285.0,32022,1,1,0,0,0,1,0
3,80,1,1,0,1,279.0,34875,0,0,0,1,1,0,0
2,42,1,1,1,1,166.0,39523,0,0,1,0,0,1,0
1,41,1,1,0,1,90.0,21951,1,0,0,0,0,1,0
2,42,1,1,0,1,183.0,43571,1,0,1,0,1,0,0
2,56,1,0,1,1,152.0,27142,1,1,0,0,0,1,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,0,1,0
2,57,1,1,0,1,250.0,43859,1,0,0,0,1,0,0
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,60,1,0,1,1,240.0,40000,1,1,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
3,89,1,0,1,1,278.0,31235,1,1,0,0,0,0,1
2,42,1,1,1,0,160.0,38095,1,0,1,0,0,0,0
1,49,1,1,0,1,155.0,31568,0,0,0,1,1,0,0
2,42,1,1,1,1,89.0,21190,1,1,0,0,0,1,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,0,1,0
4,138,1,1,1,0,405.0,29347,1,1,0,0,0,0,0
2,42,1,1,1,1,155.0,36904,1,1,0,0,0,0,1
2,48,1,0,0,1,157.0,32708,1,0,0,0,1,0,0
1,59,1,1,1,1,205.0,34745,1,1,0,0,0,0,1
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
1,51,1,1,1,1,146.0,28627,1,1,0,0,0,1,0
5,350,1,1,1,1,1850.0,52857,1,1,0,0,0,1,0
1,60,1,1,1,0,232.0,38666,1,0,0,0,0,0,0
2,42,1,1,1,1,128.0,30476,1,0,0,0,1,0,0
2,53,1,1,1,1,190.0,35849,1,0,0,0,1,0,0
2,53,1,1,1,1,190.0,35849,1,0,0,0,1,0,0
2,42,1,1,1,1,129.0,30714,1,0,0,0,1,0,0
2,42,1,0,1,1,135.0,32142,1,1,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,50,1,1,1,1,215.0,43000,1,0,0,0,0,1,0
2,53,1,1,1,1,190.0,35849,1,0,0,0,1,0,0
1,42,1,1,1,1,155.0,36904,1,1,0,0,1,0,0
2,42,1,1,1,1,166.0,39523,0,0,1,0,0,1,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,1,0,0
1,48,1,1,0,1,195.0,40206,0,0,0,1,0,1,0
2,50,1,0,1,1,163.0,32600,1,1,0,0,1,0,0
2,45,1,1,1,1,83.0,18444,1,0,0,0,0,0,1
3,102,1,0,0,1,650.0,63725,1,1,0,0,1,0,0
2,42,1,1,0,1,166.0,39523,1,0,1,0,0,1,0
2,47,1,0,0,1,155.0,32978,0,0,0,1,0,0,1
2,42,1,0,0,1,136.0,32380,1,0,1,0,0,1,0
2,42,1,1,0,1,168.0,40000,1,0,0,0,0,0,1
2,48,1,1,1,1,155.0,32291,1,0,0,0,1,0,0
2,48,1,1,0,1,185.6,38110,1,1,0,0,1,0,0
2,42,1,0,1,1,155.0,36904,1,0,0,0,0,1,0
2,51,1,1,1,1,150.0,29411,1,0,0,0,1,0,0
3,89,0,0,1,1,310.0,34831,1,0,0,0,1,0,0
2,51,1,1,0,1,156.0,30588,1,0,0,0,0,1,0
2,42,1,0,0,1,160.0,38095,1,1,0,0,0,1,0
1,34,1,1,0,1,98.0,28340,1,1,0,0,0,1,0
1,45,1,1,0,0,98.0,21777,1,0,0,0,0,1,0
2,42,1,0,1,1,133.0,31666,1,0,0,0,0,0,1
2,42,1,1,1,1,153.4,36523,1,0,0,0,0,1,0
2,50,1,1,1,1,180.0,36000,1,0,0,0,1,0,0
2,73,1,1,1,1,311.0,42602,1,1,0,0,0,1,0
2,42,1,1,0,1,105.0,25000,1,0,0,0,0,1,0
3,87,0,1,1,1,400.0,45610,1,1,0,0,0,0,1
2,42,1,1,1,1,89.0,21190,1,1,0,0,0,1,0
2,42,1,1,0,1,95.0,22619,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
3,89,0,0,1,1,280.0,31460,1,1,0,0,0,1,0
1,32,1,1,0,1,68.0,21250,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,50,1,1,1,1,265.0,53000,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,1,0,0,0,1,0
2,42,1,0,0,1,160.0,38095,1,0,0,0,1,0,0
2,42,1,0,1,1,165.0,39285,1,0,0,0,1,0,0
1,42,1,1,1,1,155.0,36904,1,1,0,0,1,0,0
2,42,1,1,1,0,160.0,38095,1,0,1,0,0,0,0
3,48,1,1,1,1,180.0,37500,1,1,0,0,0,1,0
2,42,1,1,1,1,170.0,40476,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,1,0,0,0,0,1
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
3,65,1,1,1,1,240.0,36923,1,1,0,0,0,1,0
2,42,1,1,1,1,155.0,36904,1,1,0,0,0,0,1
2,42,1,0,1,1,172.0,40952,1,0,0,0,1,0,0
2,57,1,1,1,1,250.0,43859,1,0,0,0,0,1,0
2,45,1,1,0,1,183.0,40666,1,1,0,0,1,0,0
4,135,0,0,1,1,480.0,35555,1,1,0,0,1,0,0
2,45,1,1,1,1,168.0,37333,1,1,0,0,0,1,0
2,45,1,1,1,1,180.0,39215,1,0,0,0,0,1,0
1,42,1,1,1,1,130.0,30952,0,0,1,0,0,1,0
3,55,1,0,1,1,206.0,37454,1,1,0,0,0,1,0
1,47,1,1,1,1,168.0,35744,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
2,50,1,1,1,1,195.0,39000,1,0,0,0,0,1,0
3,64,1,0,1,1,240.0,37500,1,1,0,0,0,1,0
3,80,1,1,1,1,275.0,34375,0,0,0,1,0,1,0
1,51,1,0,0,1,160.0,31372,1,1,0,0,1,0,0
2,42,1,1,0,1,155.0,36904,1,0,0,0,1,0,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
1,40,1,1,0,1,118.0,29500,1,0,0,0,0,1,0
2,42,1,1,1,1,155.0,36904,1,0,1,0,0,0,1
2,42,1,0,1,1,118.0,28095,1,0,0,0,0,1,0
2,35,1,1,0,1,118.0,33714,1,0,0,0,0,1,0
2,42,1,1,0,1,170.0,40476,1,0,0,0,0,1,0
2,42,1,1,1,1,156.0,37142,1,0,1,0,1,0,0
2,38,1,1,0,1,89.0,23421,1,0,0,0,1,0,0
2,42,1,1,1,1,148.0,35238,1,1,0,0,0,1,0
1,47,1,1,1,1,165.0,35106,0,0,1,0,1,0,0
1,63,1,1,1,1,190.0,30158,1,0,0,0,0,1,0
5,349,1,0,0,1,1850.0,53008,1,0,0,0,1,0,0
3,106,1,0,1,1,312.0,29433,1,0,0,0,1,0,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,0,1,0
2,45,1,1,1,1,210.0,46666,1,0,0,0,0,1,0
3,88,1,0,1,1,340.0,38245,1,1,0,0,1,0,0
2,45,1,1,1,1,210.0,46666,1,0,0,0,0,1,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,1,0,0,0,0,1
2,53,1,1,1,1,190.0,35849,1,0,0,0,1,0,0
2,42,1,0,0,1,117.0,27857,1,0,0,0,0,1,0
4,118,0,1,1,1,480.0,40438,1,1,0,0,0,1,0
1,58,1,1,0,1,187.0,31987,1,1,0,0,0,1,0
2,40,1,0,1,1,78.0,19500,1,1,0,0,0,1,0
2,80,1,1,0,1,385.0,48125,1,1,0,0,0,0,1
2,45,1,1,0,1,150.0,33333,1,0,0,0,1,0,0
4,144,1,1,0,1,471.0,32706,1,0,0,0,0,1,0
2,42,1,1,0,1,145.0,34523,1,1,0,0,0,1,0
1,42,1,1,1,1,154.0,36666,1,0,0,0,1,0,0
2,43,1,1,1,1,149.0,33909,1,0,0,0,0,0,1
2,42,1,0,0,1,166.0,39523,1,1,0,0,0,0,1
1,47,1,0,1,1,130.0,27659,1,1,0,0,1,0,0
1,58,1,1,1,1,205.0,35042,1,1,0,0,0,1,0
2,42,1,1,0,1,155.0,36904,1,1,0,0,1,0,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,53,1,1,0,1,190.0,35849,1,0,0,0,1,0,0
2,42,1,0,1,1,150.0,35714,1,0,0,0,0,1,0
2,35,1,1,0,1,118.0,33714,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
2,45,1,1,0,1,176.0,39111,1,0,0,0,1,0,0
2,43,1,1,0,1,156.0,36279,1,0,0,0,0,1,0
2,60,1,0,1,1,120.0,20000,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
2,46,1,1,0,1,186.0,40434,1,0,0,0,0,1,0
2,45,1,1,0,1,186.0,41333,1,0,0,0,0,1,0
2,42,1,1,0,1,105.0,25000,1,0,0,0,0,1,0
3,41,1,1,1,1,180.0,43902,1,0,0,0,0,1,0
3,42,1,1,1,1,180.0,42857,1,0,0,0,0,1,0
2,35,1,1,0,1,118.0,33714,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
2,42,1,1,1,1,153.4,36523,1,0,0,0,0,1,0
2,42,1,0,1,1,200.0,47619,1,0,0,0,0,1,0
2,42,1,0,1,1,150.0,35714,1,0,0,0,0,1,0
2,45,1,1,1,1,179.0,39777,1,0,0,0,1,0,0
2,45,1,1,1,1,185.0,41111,1,0,0,0,0,1,0
2,45,1,1,1,1,139.0,30888,1,0,0,0,1,0,0
2,49,1,1,1,1,190.0,38229,1,1,0,0,1,0,0
4,81,1,1,1,1,380.0,46913,1,1,0,0,0,1,0
2,42,1,0,1,1,158.0,37619,1,0,0,0,0,1,0
1,45,1,0,0,1,125.0,27777,1,0,0,0,0,1,0
1,45,1,0,0,1,112.0,24888,1,0,0,0,0,1,0
1,54,1,1,0,1,115.0,21296,0,0,0,1,0,0,1
2,50,1,0,0,1,92.0,18400,1,0,0,0,0,1,0
1,38,1,0,1,1,98.0,25789,1,0,0,0,0,0,1
2,55,1,0,0,1,88.0,16000,1,1,0,0,0,1,0
2,53,1,1,1,1,210.0,39622,1,0,0,0,0,1,0
2,50,1,1,0,1,216.0,43200,1,0,0,0,1,0,0
2,42,1,0,1,1,159.0,37857,1,0,1,0,0,1,0
5,356,1,1,1,1,1850.0,51966,1,1,0,0,0,1,0
2,42,1,0,0,1,150.0,35714,1,1,0,0,0,0,1
2,51,1,1,0,1,99.0,19411,1,0,0,0,1,0,0
1,41,1,0,0,1,114.0,27804,1,0,0,0,1,0,0
2,42,1,0,0,1,163.0,38809,1,1,0,0,0,1,0
2,42,1,0,0,1,160.0,38095,1,1,0,0,0,1,0
2,42,1,1,0,1,159.0,37857,1,1,0,0,0,1,0
1,49,1,1,0,1,160.0,32653,0,1,1,0,0,1,0
2,50,1,1,0,1,201.0,40200,1,0,0,0,0,1,0
2,51,1,1,1,1,95.0,18627,1,0,0,0,1,0,0
2,48,1,1,1,1,170.0,35416,0,1,0,0,0,1,0
2,46,1,1,1,1,170.0,36956,1,1,0,0,1,0,0
3,67,1,1,1,1,200.0,29850,1,1,0,0,0,1,0
1,51,1,1,1,1,132.0,25882,1,1,0,0,0,1,0
1,54,1,1,1,1,110.0,20220,1,0,0,0,0,1,0
2,42,1,1,1,1,199.0,47380,1,0,0,0,1,0,0
3,60,1,1,1,1,230.0,38333,1,0,0,0,0,1,0
2,45,1,1,0,1,165.0,36666,1,0,0,0,0,1,0
2,45,1,0,0,1,155.0,34444,1,0,0,0,0,1,0
2,42,1,1,0,1,145.0,34523,1,0,0,0,0,1,0
2,40,1,1,0,1,155.0,38750,1,0,0,0,1,0,0
2,42,1,1,1,1,148.0,35238,1,1,0,0,0,1,0
2,42,1,1,0,1,153.0,36428,1,0,0,0,0,1,0
2,42,1,0,0,1,158.0,37619,1,0,0,0,0,1,0
2,45,1,0,0,1,152.0,33777,1,0,0,0,1,0,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,45,1,1,0,1,156.0,34666,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
1,45,1,1,0,1,116.0,25777,1,0,0,0,1,0,0
2,43,1,1,0,1,112.0,26046,1,0,0,0,1,0,0
2,42,1,1,0,1,148.0,35238,1,0,0,0,1,0,0
2,43,1,0,0,1,158.0,36744,1,0,0,0,0,1,0
2,43,1,0,0,1,165.0,38372,1,0,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
1,45,1,0,0,1,150.0,33333,1,1,0,0,0,1,0
2,42,1,1,0,1,150.0,35714,1,1,0,0,0,0,1
1,46,1,1,0,1,134.6,29250,1,0,0,1,0,0,1
4,89,1,1,1,1,500.0,56179,1,1,0,0,1,0,0
2,45,1,1,0,1,145.6,32344,1,0,0,0,0,0,1
2,45,1,1,1,1,185.0,41111,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,0,1,0,0,0,1,0
2,42,1,0,1,1,160.0,38095,1,0,0,0,0,1,0
2,45,1,1,1,1,190.0,42222,1,1,0,0,0,1,0
4,198,1,0,1,1,758.0,38282,1,1,0,0,0,1,0
4,198,0,0,1,1,750.0,37878,1,1,0,0,0,0,1
2,60,1,0,1,1,120.0,20000,1,0,0,0,0,1,0
2,42,1,0,1,1,148.0,35238,1,0,0,0,0,1,0
3,89,1,1,1,1,426.0,47865,1,1,0,0,1,0,0
2,49,1,1,1,1,115.0,23421,0,0,0,1,1,0,0
3,87,0,1,1,1,370.0,42189,1,1,0,0,0,1,0
2,50,0,1,1,0,225.0,45000,1,0,1,0,1,0,0
2,45,1,1,1,1,148.0,32888,1,1,0,0,1,0,0
1,51,1,1,0,1,135.0,26470,1,1,0,0,0,1,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,45,1,1,0,1,155.0,34444,1,0,0,0,1,0,0
2,51,1,1,0,1,80.0,15686,1,0,0,0,1,0,0
1,46,1,1,0,1,112.0,24347,1,0,0,0,0,1,0
2,42,1,1,1,1,148.0,35238,1,1,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
3,89,1,0,1,1,480.0,53872,1,0,0,0,0,1,0
1,50,1,1,1,1,150.0,30000,1,0,0,0,1,0,0
1,51,1,0,0,1,160.0,31372,1,1,0,0,1,0,0
2,51,1,1,1,1,95.0,18627,1,0,0,0,1,0,0
1,56,1,1,1,1,222.0,39153,1,1,0,0,0,1,0
1,56,1,1,1,1,222.0,39153,1,1,0,0,0,1,0
2,50,1,1,1,1,180.0,36000,1,0,0,0,1,0,0
2,73,1,1,1,1,311.0,42602,1,1,0,0,0,1,0
2,45,1,1,0,0,186.0,41333,1,1,0,0,1,0,0
3,52,1,1,1,1,255.0,49038,1,0,0,0,0,1,0
1,40,1,1,1,1,149.0,37250,1,1,0,0,1,0,0
1,53,1,0,0,0,100.0,18867,1,0,0,0,0,0,0
1,42,1,1,0,1,180.0,42857,1,0,0,0,0,1,0
2,70,1,1,1,1,300.0,42857,0,1,1,0,1,0,0
2,50,1,1,0,1,201.0,40200,1,0,0,0,0,1,0
1,42,1,1,1,1,155.0,36904,1,1,0,0,1,0,0
2,48,1,1,1,1,175.0,36458,1,0,0,0,0,1,0
3,106,1,0,1,1,310.0,29245,1,0,0,0,1,0,0
1,40,1,1,1,1,149.0,37250,1,1,0,0,1,0,0
2,42,1,1,1,1,132.0,31428,1,0,0,0,0,1,0
2,42,1,1,1,1,158.0,37619,1,0,0,0,0,1,0
2,47,1,1,0,0,126.0,26808,1,1,0,0,0,1,0
2,51,1,0,1,0,90.0,17647,1,0,0,0,0,1,0
2,51,1,1,1,1,220.0,43137,0,1,0,0,0,1,0
3,88,0,1,1,1,360.0,40909,1,1,0,0,1,0,0
2,45,1,1,1,1,128.0,28444,1,0,0,0,0,1,0
2,42,1,1,1,1,155.0,36904,1,0,1,0,0,0,1
1,35,1,1,1,1,116.0,33142,0,1,0,1,1,0,0
2,54,1,1,0,1,155.0,28703,1,0,0,0,0,0,1
2,42,1,1,1,1,198.0,47142,1,0,0,0,0,1,0
1,49,1,0,0,1,115.0,23469,1,0,0,0,0,1,0
2,42,1,0,1,1,159.0,37857,1,0,0,0,0,1,0
2,58,1,1,1,1,208.0,35862,1,0,0,0,0,1,0
1,58,1,1,1,1,185.6,32000,1,0,0,0,0,0,1
2,53,1,1,0,1,175.0,33018,1,1,0,0,1,0,0
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,47,1,1,1,1,185.0,39361,1,1,0,0,1,0,0
5,129,0,1,1,1,498.0,38604,1,1,0,0,0,0,1
4,129,0,1,1,1,430.0,33333,1,0,0,0,0,0,1
2,42,1,1,1,1,168.0,40000,1,0,0,0,0,1,0
1,50,1,1,1,1,175.0,35000,0,0,1,0,0,1,0
2,58,1,1,1,1,220.0,37931,1,0,0,0,0,1,0
2,42,1,1,1,1,172.0,40952,0,0,1,0,0,1,0
2,51,1,0,1,0,90.0,17647,1,0,0,0,0,1,0
2,46,1,1,1,1,168.0,36521,1,0,0,0,1,0,0
1,45,1,0,1,1,120.0,26666,1,0,0,0,0,0,1
2,46,1,1,1,1,168.0,36521,1,0,0,0,0,1,0
3,121,0,0,1,1,385.0,31818,1,1,0,0,0,1,0
3,89,0,0,1,1,278.0,31235,1,1,0,0,0,1,0
3,89,0,0,0,1,300.0,33707,1,1,0,0,0,1,0
3,121,0,0,1,1,370.0,30578,1,1,0,0,0,0,1
4,89,0,0,1,1,280.0,31460,1,1,0,0,0,1,0
2,46,1,1,1,1,168.0,36521,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,1,0,0,0,0,1
2,50,1,1,0,1,160.0,32000,1,0,0,0,1,0,0
2,55,1,1,0,1,150.0,27272,1,0,0,0,0,1,0
2,42,1,0,1,1,160.5,38214,1,0,0,0,0,0,1
2,35,1,1,0,1,118.0,33714,1,0,0,0,0,1,0
2,42,1,0,1,1,118.0,28095,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,1,0,1,0,0,1,0
2,42,1,0,1,1,133.0,31666,1,0,0,0,0,0,1
2,42,1,0,1,1,128.0,30476,1,0,0,0,1,0,0
2,42,1,1,0,1,135.0,32142,1,0,0,0,1,0,0
2,45,1,1,1,1,168.0,37333,1,0,0,0,0,1,0
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,75,1,0,1,1,202.0,26933,1,1,0,0,1,0,0
3,85,1,0,1,1,251.0,29196,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,0,1
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,49,1,1,0,1,165.0,33591,0,0,0,1,0,1,0
2,49,1,1,0,1,136.0,27676,0,0,0,1,1,0,0
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,45,1,1,1,1,156.0,33986,1,0,0,0,0,1,0
2,72,1,0,1,1,201.0,27916,1,0,0,0,0,0,1
1,35,1,1,0,0,120.0,34285,0,0,1,0,0,1,0
3,49,1,1,0,1,175.0,35714,0,0,1,0,0,1,0
3,89,1,0,0,1,251.0,28139,1,0,0,0,0,1,0
2,81,1,0,1,1,252.0,31111,1,0,0,0,0,1,0
2,73,1,0,0,1,211.0,28904,1,0,0,0,1,0,0
2,42,1,0,1,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,210.0,50000,1,0,0,0,0,1,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
3,85,1,0,1,1,301.0,35229,1,0,0,0,0,1,0
2,62,1,0,1,1,151.0,24350,1,1,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,42,1,0,0,1,169.0,40238,1,0,1,0,0,1,0
2,32,1,0,1,1,80.0,25000,1,1,0,0,1,0,0
1,47,1,1,1,1,148.0,31489,1,0,0,0,0,0,1
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
1,42,1,0,1,1,148.8,35428,1,0,0,0,1,0,0
4,238,0,1,1,1,650.0,27310,1,1,0,0,0,1,0
2,40,1,1,0,1,156.0,39000,1,0,0,0,0,1,0
2,40,1,1,0,1,158.0,39500,1,0,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,51,1,1,1,1,150.0,29411,1,0,0,0,1,0,0
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,49,1,1,0,0,107.0,21836,1,0,0,0,1,0,0
2,42,1,0,1,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,42,1,0,1,1,178.0,42380,1,0,0,0,0,1,0
2,80,1,1,0,1,120.0,15000,1,0,0,0,0,1,0
2,42,1,1,1,1,156.0,37142,1,0,0,0,0,1,0
2,42,1,0,0,1,138.0,32857,1,0,1,0,0,1,0
2,70,1,1,0,1,100.0,14285,1,0,0,0,1,0,0
2,52,1,1,1,1,220.0,42307,1,0,0,0,0,1,0
2,50,1,1,0,1,110.0,22000,1,0,0,0,1,0,0
3,86,1,1,1,1,314.0,36175,1,1,0,0,0,1,0
2,32,1,0,1,1,80.0,25000,1,1,0,0,1,0,0
1,45,1,0,0,1,123.5,27444,1,0,0,0,0,0,1
2,45,1,1,1,1,155.0,34444,1,0,0,0,0,1,0
2,42,1,1,1,1,145.0,34523,1,0,0,0,0,1,0
